,,Non-donation,Donation,Statistics
고용보험 연간소득(h1708_aq13),1082.0,12 (85.71%),2 (14.29%),
고용보험 연간소득(h1708_aq13),1110.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),1112.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),1120.0,20 (90.91%),2 (9.09%),
고용보험 연간소득(h1708_aq13),1125.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),1138.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),1160.0,1 (33.33%),2 (66.67%),
고용보험 연간소득(h1708_aq13),1170.0,5 (71.43%),2 (28.57%),
고용보험 연간소득(h1708_aq13),1176.0,17 (94.44%),1 (5.56%),
고용보험 연간소득(h1708_aq13),1188.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),1190.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),1200.0,20 (86.96%),3 (13.04%),
고용보험 연간소득(h1708_aq13),1217.0,1 (20.00%),4 (80.00%),
고용보험 연간소득(h1708_aq13),1224.0,5 (71.43%),2 (28.57%),
고용보험 연간소득(h1708_aq13),1251.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),1260.0,18 (81.82%),4 (18.18%),
고용보험 연간소득(h1708_aq13),1263.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),1280.0,16 (88.89%),2 (11.11%),
고용보험 연간소득(h1708_aq13),1294.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),1320.0,11 (91.67%),1 (8.33%),
고용보험 연간소득(h1708_aq13),1330.0,8 (80.00%),2 (20.00%),
고용보험 연간소득(h1708_aq13),1336.0,4 (57.14%),3 (42.86%),
고용보험 연간소득(h1708_aq13),1350.0,14 (82.35%),3 (17.65%),
고용보험 연간소득(h1708_aq13),1356.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),1380.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),1423.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),1430.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),1500.0,9 (81.82%),2 (18.18%),
고용보험 연간소득(h1708_aq13),1510.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),1560.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),1620.0,12 (92.31%),1 (7.69%),
고용보험 연간소득(h1708_aq13),1638.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),1650.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),1661.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),1663.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),1679.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),1800.0,9 (75.00%),3 (25.00%),
고용보험 연간소득(h1708_aq13),1805.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),1820.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),1890.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),2160.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),4500.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),999999.0,3 (60.00%),2 (40.00%),
고용보험 연간소득(h1708_aq13),1000000.0,17541 (95.08%),908 (4.92%),
Discussing the issue calmly among family members,0.0,5666 (95.77%),250 (4.23%),"$\chi^2$=1106.39, $p$=0.00"
Discussing the issue calmly among family members,1.0,4753 (95.17%),241 (4.83%),
Discussing the issue calmly among family members,2.0,18010 (96.33%),687 (3.67%),
Discussing the issue calmly among family members,3.0,63217 (96.22%),2486 (3.78%),
Discussing the issue calmly among family members,4.0,148178 (94.04%),9384 (5.96%),
Discussing the issue calmly among family members,5.0,29083 (91.55%),2686 (8.45%),
Discussing the issue calmly among family members,9.0,138 (93.24%),10 (6.76%),
"Childcare assistance (i-love card, child joy card)",0.0,181240 (94.23%),11104 (5.77%),"$\chi^2$=1095.24, $p$=0.00"
"Childcare assistance (i-love card, child joy card)",6.0,4 (80.00%),1 (20.00%),
"Childcare assistance (i-love card, child joy card)",11.0,6 (85.71%),1 (14.29%),
"Childcare assistance (i-love card, child joy card)",12.0,9 (75.00%),3 (25.00%),
"Childcare assistance (i-love card, child joy card)",20.0,21 (91.30%),2 (8.70%),
"Childcare assistance (i-love card, child joy card)",21.0,18 (85.71%),3 (14.29%),
"Childcare assistance (i-love card, child joy card)",24.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",30.0,14 (93.33%),1 (6.67%),
"Childcare assistance (i-love card, child joy card)",31.0,32 (94.12%),2 (5.88%),
"Childcare assistance (i-love card, child joy card)",34.0,61 (96.83%),2 (3.17%),
"Childcare assistance (i-love card, child joy card)",36.0,44 (97.78%),1 (2.22%),
"Childcare assistance (i-love card, child joy card)",40.0,18 (81.82%),4 (18.18%),
"Childcare assistance (i-love card, child joy card)",44.0,27 (81.82%),6 (18.18%),
"Childcare assistance (i-love card, child joy card)",45.0,8 (88.89%),1 (11.11%),
"Childcare assistance (i-love card, child joy card)",46.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",51.0,6 (85.71%),1 (14.29%),
"Childcare assistance (i-love card, child joy card)",52.0,10 (71.43%),4 (28.57%),
"Childcare assistance (i-love card, child joy card)",59.0,13 (86.67%),2 (13.33%),
"Childcare assistance (i-love card, child joy card)",60.0,23 (88.46%),3 (11.54%),
"Childcare assistance (i-love card, child joy card)",61.0,8 (88.89%),1 (11.11%),
"Childcare assistance (i-love card, child joy card)",62.0,42 (97.67%),1 (2.33%),
"Childcare assistance (i-love card, child joy card)",63.0,2 (66.67%),1 (33.33%),
"Childcare assistance (i-love card, child joy card)",66.0,36 (85.71%),6 (14.29%),
"Childcare assistance (i-love card, child joy card)",68.0,71 (97.26%),2 (2.74%),
"Childcare assistance (i-love card, child joy card)",69.0,36 (94.74%),2 (5.26%),
"Childcare assistance (i-love card, child joy card)",70.0,23 (95.83%),1 (4.17%),
"Childcare assistance (i-love card, child joy card)",71.0,147 (96.71%),5 (3.29%),
"Childcare assistance (i-love card, child joy card)",72.0,834 (90.26%),90 (9.74%),
"Childcare assistance (i-love card, child joy card)",74.0,8 (88.89%),1 (11.11%),
"Childcare assistance (i-love card, child joy card)",78.0,10 (76.92%),3 (23.08%),
"Childcare assistance (i-love card, child joy card)",80.0,11 (91.67%),1 (8.33%),
"Childcare assistance (i-love card, child joy card)",81.0,14 (77.78%),4 (22.22%),
"Childcare assistance (i-love card, child joy card)",83.0,34 (97.14%),1 (2.86%),
"Childcare assistance (i-love card, child joy card)",86.0,13 (92.86%),1 (7.14%),
"Childcare assistance (i-love card, child joy card)",88.0,14 (93.33%),1 (6.67%),
"Childcare assistance (i-love card, child joy card)",96.0,90 (90.00%),10 (10.00%),
"Childcare assistance (i-love card, child joy card)",100.0,42 (95.45%),2 (4.55%),
"Childcare assistance (i-love card, child joy card)",101.0,14 (93.33%),1 (6.67%),
"Childcare assistance (i-love card, child joy card)",102.0,2 (50.00%),2 (50.00%),
"Childcare assistance (i-love card, child joy card)",103.0,319 (97.26%),9 (2.74%),
"Childcare assistance (i-love card, child joy card)",104.0,22 (88.00%),3 (12.00%),
"Childcare assistance (i-love card, child joy card)",106.0,17 (94.44%),1 (5.56%),
"Childcare assistance (i-love card, child joy card)",107.0,11 (91.67%),1 (8.33%),
"Childcare assistance (i-love card, child joy card)",110.0,9 (90.00%),1 (10.00%),
"Childcare assistance (i-love card, child joy card)",114.0,8 (88.89%),1 (11.11%),
"Childcare assistance (i-love card, child joy card)",115.0,126 (97.67%),3 (2.33%),
"Childcare assistance (i-love card, child joy card)",118.0,42 (95.45%),2 (4.55%),
"Childcare assistance (i-love card, child joy card)",120.0,145 (87.88%),20 (12.12%),
"Childcare assistance (i-love card, child joy card)",124.0,46 (95.83%),2 (4.17%),
"Childcare assistance (i-love card, child joy card)",125.0,3 (60.00%),2 (40.00%),
"Childcare assistance (i-love card, child joy card)",129.0,11 (91.67%),1 (8.33%),
"Childcare assistance (i-love card, child joy card)",131.0,1 (33.33%),2 (66.67%),
"Childcare assistance (i-love card, child joy card)",132.0,43 (89.58%),5 (10.42%),
"Childcare assistance (i-love card, child joy card)",136.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",137.0,6 (85.71%),1 (14.29%),
"Childcare assistance (i-love card, child joy card)",138.0,55 (91.67%),5 (8.33%),
"Childcare assistance (i-love card, child joy card)",139.0,23 (88.46%),3 (11.54%),
"Childcare assistance (i-love card, child joy card)",143.0,15 (83.33%),3 (16.67%),
"Childcare assistance (i-love card, child joy card)",144.0,61 (89.71%),7 (10.29%),
"Childcare assistance (i-love card, child joy card)",145.0,6 (75.00%),2 (25.00%),
"Childcare assistance (i-love card, child joy card)",151.0,13 (86.67%),2 (13.33%),
"Childcare assistance (i-love card, child joy card)",156.0,10 (66.67%),5 (33.33%),
"Childcare assistance (i-love card, child joy card)",158.0,37 (92.50%),3 (7.50%),
"Childcare assistance (i-love card, child joy card)",166.0,20 (86.96%),3 (13.04%),
"Childcare assistance (i-love card, child joy card)",167.0,93 (96.88%),3 (3.12%),
"Childcare assistance (i-love card, child joy card)",168.0,10 (71.43%),4 (28.57%),
"Childcare assistance (i-love card, child joy card)",169.0,19 (95.00%),1 (5.00%),
"Childcare assistance (i-love card, child joy card)",172.0,12 (85.71%),2 (14.29%),
"Childcare assistance (i-love card, child joy card)",174.0,15 (93.75%),1 (6.25%),
"Childcare assistance (i-love card, child joy card)",176.0,15 (93.75%),1 (6.25%),
"Childcare assistance (i-love card, child joy card)",179.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",180.0,25 (92.59%),2 (7.41%),
"Childcare assistance (i-love card, child joy card)",181.0,4 (80.00%),1 (20.00%),
"Childcare assistance (i-love card, child joy card)",192.0,32 (96.97%),1 (3.03%),
"Childcare assistance (i-love card, child joy card)",193.0,10 (90.91%),1 (9.09%),
"Childcare assistance (i-love card, child joy card)",195.0,17 (94.44%),1 (5.56%),
"Childcare assistance (i-love card, child joy card)",197.0,59 (92.19%),5 (7.81%),
"Childcare assistance (i-love card, child joy card)",198.0,18 (90.00%),2 (10.00%),
"Childcare assistance (i-love card, child joy card)",200.0,45 (95.74%),2 (4.26%),
"Childcare assistance (i-love card, child joy card)",202.0,51 (96.23%),2 (3.77%),
"Childcare assistance (i-love card, child joy card)",203.0,12 (92.31%),1 (7.69%),
"Childcare assistance (i-love card, child joy card)",206.0,338 (98.54%),5 (1.46%),
"Childcare assistance (i-love card, child joy card)",208.0,16 (94.12%),1 (5.88%),
"Childcare assistance (i-love card, child joy card)",211.0,38 (88.37%),5 (11.63%),
"Childcare assistance (i-love card, child joy card)",212.0,695 (96.66%),24 (3.34%),
"Childcare assistance (i-love card, child joy card)",213.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",218.0,65 (97.01%),2 (2.99%),
"Childcare assistance (i-love card, child joy card)",220.0,97 (92.38%),8 (7.62%),
"Childcare assistance (i-love card, child joy card)",221.0,2 (50.00%),2 (50.00%),
"Childcare assistance (i-love card, child joy card)",227.0,2 (50.00%),2 (50.00%),
"Childcare assistance (i-love card, child joy card)",229.0,91 (95.79%),4 (4.21%),
"Childcare assistance (i-love card, child joy card)",236.0,419 (94.80%),23 (5.20%),
"Childcare assistance (i-love card, child joy card)",240.0,419 (95.88%),18 (4.12%),
"Childcare assistance (i-love card, child joy card)",243.0,22 (88.00%),3 (12.00%),
"Childcare assistance (i-love card, child joy card)",247.0,34 (94.44%),2 (5.56%),
"Childcare assistance (i-love card, child joy card)",254.0,22 (88.00%),3 (12.00%),
"Childcare assistance (i-love card, child joy card)",257.0,18 (94.74%),1 (5.26%),
"Childcare assistance (i-love card, child joy card)",260.0,13 (81.25%),3 (18.75%),
"Childcare assistance (i-love card, child joy card)",264.0,5209 (92.69%),411 (7.31%),
"Childcare assistance (i-love card, child joy card)",265.0,6 (85.71%),1 (14.29%),
"Childcare assistance (i-love card, child joy card)",271.0,9 (90.00%),1 (10.00%),
"Childcare assistance (i-love card, child joy card)",272.0,14 (93.33%),1 (6.67%),
"Childcare assistance (i-love card, child joy card)",274.0,5 (55.56%),4 (44.44%),
"Childcare assistance (i-love card, child joy card)",277.0,17 (80.95%),4 (19.05%),
"Childcare assistance (i-love card, child joy card)",278.0,21 (84.00%),4 (16.00%),
"Childcare assistance (i-love card, child joy card)",279.0,44 (89.80%),5 (10.20%),
"Childcare assistance (i-love card, child joy card)",283.0,36 (94.74%),2 (5.26%),
"Childcare assistance (i-love card, child joy card)",284.0,121 (90.98%),12 (9.02%),
"Childcare assistance (i-love card, child joy card)",286.0,93 (94.90%),5 (5.10%),
"Childcare assistance (i-love card, child joy card)",288.0,333 (90.24%),36 (9.76%),
"Childcare assistance (i-love card, child joy card)",296.0,12 (80.00%),3 (20.00%),
"Childcare assistance (i-love card, child joy card)",299.0,5 (83.33%),1 (16.67%),
"Childcare assistance (i-love card, child joy card)",300.0,64 (92.75%),5 (7.25%),
"Childcare assistance (i-love card, child joy card)",304.0,9 (81.82%),2 (18.18%),
"Childcare assistance (i-love card, child joy card)",305.0,17 (94.44%),1 (5.56%),
"Childcare assistance (i-love card, child joy card)",306.0,4 (80.00%),1 (20.00%),
"Childcare assistance (i-love card, child joy card)",308.0,387 (90.42%),41 (9.58%),
"Childcare assistance (i-love card, child joy card)",310.0,14 (82.35%),3 (17.65%),
"Childcare assistance (i-love card, child joy card)",312.0,118 (90.77%),12 (9.23%),
"Childcare assistance (i-love card, child joy card)",315.0,13 (81.25%),3 (18.75%),
"Childcare assistance (i-love card, child joy card)",317.0,14 (93.33%),1 (6.67%),
"Childcare assistance (i-love card, child joy card)",318.0,5 (83.33%),1 (16.67%),
"Childcare assistance (i-love card, child joy card)",321.0,20 (95.24%),1 (4.76%),
"Childcare assistance (i-love card, child joy card)",325.0,2 (50.00%),2 (50.00%),
"Childcare assistance (i-love card, child joy card)",331.0,32 (84.21%),6 (15.79%),
"Childcare assistance (i-love card, child joy card)",332.0,18 (90.00%),2 (10.00%),
"Childcare assistance (i-love card, child joy card)",336.0,567 (93.41%),40 (6.59%),
"Childcare assistance (i-love card, child joy card)",337.0,41 (95.35%),2 (4.65%),
"Childcare assistance (i-love card, child joy card)",340.0,2 (66.67%),1 (33.33%),
"Childcare assistance (i-love card, child joy card)",341.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",343.0,868 (94.66%),49 (5.34%),
"Childcare assistance (i-love card, child joy card)",344.0,6 (85.71%),1 (14.29%),
"Childcare assistance (i-love card, child joy card)",345.0,18 (94.74%),1 (5.26%),
"Childcare assistance (i-love card, child joy card)",347.0,90 (95.74%),4 (4.26%),
"Childcare assistance (i-love card, child joy card)",348.0,10 (83.33%),2 (16.67%),
"Childcare assistance (i-love card, child joy card)",353.0,12 (85.71%),2 (14.29%),
"Childcare assistance (i-love card, child joy card)",354.0,141 (95.27%),7 (4.73%),
"Childcare assistance (i-love card, child joy card)",355.0,75 (94.94%),4 (5.06%),
"Childcare assistance (i-love card, child joy card)",356.0,7 (87.50%),1 (12.50%),
"Childcare assistance (i-love card, child joy card)",357.0,5 (83.33%),1 (16.67%),
"Childcare assistance (i-love card, child joy card)",358.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",364.0,28 (87.50%),4 (12.50%),
"Childcare assistance (i-love card, child joy card)",365.0,18 (94.74%),1 (5.26%),
"Childcare assistance (i-love card, child joy card)",368.0,16 (88.89%),2 (11.11%),
"Childcare assistance (i-love card, child joy card)",370.0,52 (89.66%),6 (10.34%),
"Childcare assistance (i-love card, child joy card)",372.0,68 (94.44%),4 (5.56%),
"Childcare assistance (i-love card, child joy card)",374.0,18 (94.74%),1 (5.26%),
"Childcare assistance (i-love card, child joy card)",375.0,23 (92.00%),2 (8.00%),
"Childcare assistance (i-love card, child joy card)",376.0,117 (86.03%),19 (13.97%),
"Childcare assistance (i-love card, child joy card)",378.0,35 (97.22%),1 (2.78%),
"Childcare assistance (i-love card, child joy card)",380.0,8 (88.89%),1 (11.11%),
"Childcare assistance (i-love card, child joy card)",382.0,14 (82.35%),3 (17.65%),
"Childcare assistance (i-love card, child joy card)",383.0,24 (92.31%),2 (7.69%),
"Childcare assistance (i-love card, child joy card)",385.0,101 (91.82%),9 (8.18%),
"Childcare assistance (i-love card, child joy card)",386.0,6 (85.71%),1 (14.29%),
"Childcare assistance (i-love card, child joy card)",388.0,23 (88.46%),3 (11.54%),
"Childcare assistance (i-love card, child joy card)",394.0,21 (95.45%),1 (4.55%),
"Childcare assistance (i-love card, child joy card)",397.0,105 (86.78%),16 (13.22%),
"Childcare assistance (i-love card, child joy card)",399.0,25 (92.59%),2 (7.41%),
"Childcare assistance (i-love card, child joy card)",400.0,21 (95.45%),1 (4.55%),
"Childcare assistance (i-love card, child joy card)",403.0,14 (93.33%),1 (6.67%),
"Childcare assistance (i-love card, child joy card)",412.0,97 (95.10%),5 (4.90%),
"Childcare assistance (i-love card, child joy card)",413.0,31 (96.88%),1 (3.12%),
"Childcare assistance (i-love card, child joy card)",414.0,40 (95.24%),2 (4.76%),
"Childcare assistance (i-love card, child joy card)",415.0,22 (84.62%),4 (15.38%),
"Childcare assistance (i-love card, child joy card)",416.0,441 (90.74%),45 (9.26%),
"Childcare assistance (i-love card, child joy card)",420.0,21 (95.45%),1 (4.55%),
"Childcare assistance (i-love card, child joy card)",422.0,10 (83.33%),2 (16.67%),
"Childcare assistance (i-love card, child joy card)",424.0,156 (91.76%),14 (8.24%),
"Childcare assistance (i-love card, child joy card)",425.0,53 (92.98%),4 (7.02%),
"Childcare assistance (i-love card, child joy card)",426.0,21 (77.78%),6 (22.22%),
"Childcare assistance (i-love card, child joy card)",428.0,56 (91.80%),5 (8.20%),
"Childcare assistance (i-love card, child joy card)",433.0,2 (66.67%),1 (33.33%),
"Childcare assistance (i-love card, child joy card)",434.0,13 (92.86%),1 (7.14%),
"Childcare assistance (i-love card, child joy card)",436.0,46 (97.87%),1 (2.13%),
"Childcare assistance (i-love card, child joy card)",437.0,114 (95.00%),6 (5.00%),
"Childcare assistance (i-love card, child joy card)",439.0,13 (92.86%),1 (7.14%),
"Childcare assistance (i-love card, child joy card)",445.0,7 (87.50%),1 (12.50%),
"Childcare assistance (i-love card, child joy card)",447.0,2 (66.67%),1 (33.33%),
"Childcare assistance (i-love card, child joy card)",448.0,61 (95.31%),3 (4.69%),
"Childcare assistance (i-love card, child joy card)",449.0,83 (94.32%),5 (5.68%),
"Childcare assistance (i-love card, child joy card)",450.0,4 (80.00%),1 (20.00%),
"Childcare assistance (i-love card, child joy card)",452.0,7 (87.50%),1 (12.50%),
"Childcare assistance (i-love card, child joy card)",453.0,26 (86.67%),4 (13.33%),
"Childcare assistance (i-love card, child joy card)",454.0,104 (90.43%),11 (9.57%),
"Childcare assistance (i-love card, child joy card)",460.0,28 (93.33%),2 (6.67%),
"Childcare assistance (i-love card, child joy card)",461.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",464.0,16 (88.89%),2 (11.11%),
"Childcare assistance (i-love card, child joy card)",466.0,53 (89.83%),6 (10.17%),
"Childcare assistance (i-love card, child joy card)",467.0,17 (80.95%),4 (19.05%),
"Childcare assistance (i-love card, child joy card)",473.0,76 (87.36%),11 (12.64%),
"Childcare assistance (i-love card, child joy card)",475.0,5 (71.43%),2 (28.57%),
"Childcare assistance (i-love card, child joy card)",476.0,69 (93.24%),5 (6.76%),
"Childcare assistance (i-love card, child joy card)",480.0,47 (92.16%),4 (7.84%),
"Childcare assistance (i-love card, child joy card)",484.0,26 (81.25%),6 (18.75%),
"Childcare assistance (i-love card, child joy card)",485.0,12 (92.31%),1 (7.69%),
"Childcare assistance (i-love card, child joy card)",486.0,8 (88.89%),1 (11.11%),
"Childcare assistance (i-love card, child joy card)",487.0,35 (83.33%),7 (16.67%),
"Childcare assistance (i-love card, child joy card)",488.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",492.0,14 (93.33%),1 (6.67%),
"Childcare assistance (i-love card, child joy card)",497.0,60 (95.24%),3 (4.76%),
"Childcare assistance (i-love card, child joy card)",499.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",500.0,8 (88.89%),1 (11.11%),
"Childcare assistance (i-love card, child joy card)",505.0,3 (75.00%),1 (25.00%),
"Childcare assistance (i-love card, child joy card)",509.0,7 (77.78%),2 (22.22%),
"Childcare assistance (i-love card, child joy card)",511.0,90 (96.77%),3 (3.23%),
"Childcare assistance (i-love card, child joy card)",516.0,11 (84.62%),2 (15.38%),
"Childcare assistance (i-love card, child joy card)",526.0,19 (86.36%),3 (13.64%),
"Childcare assistance (i-love card, child joy card)",527.0,92 (93.88%),6 (6.12%),
"Childcare assistance (i-love card, child joy card)",528.0,751 (94.47%),44 (5.53%),
"Childcare assistance (i-love card, child joy card)",530.0,7 (87.50%),1 (12.50%),
